num_segments,video_duration,total_qoe,avg_qoe_per_segment,total_rebuf_time,rebuf_ratio,viewport_hits,viewport_misses,viewport_hit_rate,total_bits_downloaded,total_mb_downloaded,bandwidth_savings,avg_bandwidth_mbps,approach,user_trace_file,network_trace,video_id
77,77.77,-4804.030112586066,-62.390001462156704,1206.7511889735035,15.51692412207154,151,0,1.0,9240000000.0,1155.0,0.0,14.851485148514852,baseline,Diving-2OzlksZBTiA_0_processed.csv,TMobile2,Diving-2OzlksZBTiA
77,77.77,-1040.357528146516,-13.511136729175531,244.68779724337585,3.1463005946171516,61,90,0.40397350993377484,2310000000.0,288.75,0.75,3.712871287128713,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,TMobile2,Diving-2OzlksZBTiA
77,77.77,-37718.67674000081,-489.8529446753352,8861.32017209321,113.94265362084622,151,0,1.0,9240000000.0,1155.0,0.0,14.851485148514852,baseline,Diving-2OzlksZBTiA_0_processed.csv,TMobile1,Diving-2OzlksZBTiA
77,77.77,-9273.269185000205,-120.432067337665,2158.330043023303,27.752732969310827,60,91,0.3973509933774834,2310000000.0,288.75,0.75,3.712871287128713,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,TMobile1,Diving-2OzlksZBTiA
77,77.77,-223.44999999999973,-2.9019480519480485,141.5,1.8194676610518195,151,0,1.0,9240000000.0,1155.0,0.0,14.851485148514852,baseline,Diving-2OzlksZBTiA_0_processed.csv,bw3,Diving-2OzlksZBTiA
77,77.77,7.768749999999999,0.10089285714285713,0.9375,0.012054776906262055,61,90,0.40397350993377484,2310000000.0,288.75,0.75,3.712871287128713,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,bw3,Diving-2OzlksZBTiA
77,77.77,-4254.699999999994,-55.25584415584408,1079.0,13.874244567313875,151,0,1.0,9240000000.0,1155.0,0.0,14.851485148514852,baseline,Diving-2OzlksZBTiA_0_processed.csv,bw48,Diving-2OzlksZBTiA
77,77.77,-903.0250000000011,-11.727597402597418,212.75,2.735630705927736,61,90,0.40397350993377484,2310000000.0,288.75,0.75,3.712871287128713,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,bw48,Diving-2OzlksZBTiA
77,77.77,215.14999999999972,2.7941558441558407,39.5,0.5079079336505079,151,0,1.0,9240000000.0,1155.0,0.0,14.851485148514852,baseline,Diving-2OzlksZBTiA_0_processed.csv,high_10mbps,Diving-2OzlksZBTiA
77,77.77,10.187500000000002,0.13230519480519481,0.375,0.004821910762504822,61,90,0.40397350993377484,2310000000.0,288.75,0.75,3.712871287128713,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,high_10mbps,Diving-2OzlksZBTiA
